show_id,poster_image,lifetime_box_office_collection,number_awards_won,imdb_rating,awards_summary,imdb_id,omdb_lookup_attempted
s11,https://placehold.co/420x630/17172a/f5c96b?text=Vendetta%3A%20Truth%2C%20Lies%20and%20The%20Mafia,,0,,Not enriched,,True
s12,https://m.media-amazon.com/images/M/MV5BZjdkODlhMTgtNGEzNi00YjdiLTk4ZjEtNjc4MjdkYTllYTExXkEyXkFqcGc@._V1_SX300.jpg,,0,5.8,Not enriched,tt14202282,True
s13,https://m.media-amazon.com/images/M/MV5BNjUzNzNiYTMtZGEwZC00ZTY2LWE1MGQtYzAyNzNhNjUxZWMzXkEyXkFqcGc@._V1_SX300.jpg,,1,5.6,1 win & 6 nominations,tt9205538,True
s14,https://m.media-amazon.com/images/M/MV5BZTgwNTFlNzYtNTAwNC00MDdhLWE5OTctYTU2Y2M0NTdiY2QzXkEyXkFqcGc@._V1_SX300.jpg,,0,5.3,2 nominations,tt15204288,True
s15,https://m.media-amazon.com/images/M/MV5BMjYwYjM0M2QtZjRmMC00OWI1LWFmY2EtNjQzOTIxODFjYmQ2XkEyXkFqcGc@._V1_SX300.jpg,,0,7.0,Not enriched,tt14178956,True
s16,https://placehold.co/420x630/17172a/f5c96b?text=Dear%20White%20People,,0,,Not enriched,,True
s17,https://placehold.co/420x630/17172a/f5c96b?text=Europe%27s%20Most%20Dangerous%20Man%3A%20Otto%20Skorzeny%20in%20Spain,,0,,Not enriched,,True
s18,https://placehold.co/420x630/17172a/f5c96b?text=Falsa%20identidad,,0,,Not enriched,,True
s19,https://m.media-amazon.com/images/M/MV5BYTkxMThmYjctYTI2Yi00MWJhLTk5ZjctMzdhZmI4YzdhOTJjXkEyXkFqcGc@._V1_SX300.jpg,,1,5.3,1 win total,tt5563324,True
s20,https://m.media-amazon.com/images/M/MV5BMjk2YjQ1YTYtMzQ2NC00NTQ3LWEyMmEtNDZiNjdlNTg1ZDQ5XkEyXkFqcGc@._V1_SX300.jpg,,0,5.8,Not enriched,tt11698590,True
s21,https://m.media-amazon.com/images/M/MV5BZDY4MjQ0MWUtZWVlMi00OTM2LThkOTgtNTkwYzZkN2I4ZDExXkEyXkFqcGc@._V1_SX300.jpg,,0,6.3,Not enriched,tt15287836,True
s22,https://placehold.co/420x630/17172a/f5c96b?text=Resurrection%3A%20Ertugrul,,0,,Not enriched,,True
s23,https://placehold.co/420x630/17172a/f5c96b?text=Avvai%20Shanmughi,,0,,Not enriched,,True
s340,https://placehold.co/420x630/17172a/f5c96b?text=I%20missed%20you%3A%20Director%27s%20Cut,,0,,Not enriched,,True
s364,https://m.media-amazon.com/images/M/MV5BOTUxMDY4MzItYjliYy00ZDkzLTg3Y2MtODMxN2EwMDM2OTViXkEyXkFqcGc@._V1_SX300.jpg,,2,6.4,2 wins total,tt9742794,True
s571,https://placehold.co/420x630/17172a/f5c96b?text=Dynasty%20Warriors,,0,,Not enriched,,True
s619,https://m.media-amazon.com/images/M/MV5BOTIyYzFlMzgtODA2MS00YThhLTg0OGUtZmM2MWQ0MDQxNmQ4XkEyXkFqcGc@._V1_SX300.jpg,,0,5.6,Not enriched,tt6733874,True
s624,https://m.media-amazon.com/images/M/MV5BZjc4NWI2ZTYtZDdhYS00OTBjLWFjYmQtMWFhNmJlZmY4OWVkXkEyXkFqcGdeQXVyNTI5NjIyMw@@._V1_SX300.jpg,,0,5.3,Not enriched,tt14880428,True
s625,https://m.media-amazon.com/images/M/MV5BYWQyMWM2OTktODdkZC00MWI4LWIzMDYtNTUwMjQwNTBkZTIyXkEyXkFqcGc@._V1_SX300.jpg,,2,5.2,2 wins & 2 nominations total,tt11460976,True
s646,https://m.media-amazon.com/images/M/MV5BNTM1MDVlMDAtMTljYS00M2I4LWI0NWYtY2I1Yjk3YjdmZmVkXkEyXkFqcGc@._V1_SX300.jpg,,0,6.5,Not enriched,tt13323092,True
s747,https://placehold.co/420x630/17172a/f5c96b?text=Awake,,0,,Not enriched,,True
s751,https://placehold.co/420x630/17172a/f5c96b?text=Tragic%20Jungle,,0,,Not enriched,,True
s756,https://placehold.co/420x630/17172a/f5c96b?text=Kitty%20Love%3A%20An%20Homage%20to%20Cats,,0,,Not enriched,,True
s758,https://placehold.co/420x630/17172a/f5c96b?text=Breaking%20Boundaries%3A%20The%20Science%20Of%20Our%20Planet,,0,,Not enriched,,True
s763,https://placehold.co/420x630/17172a/f5c96b?text=Sweet%20%26%20Sour,,0,,Not enriched,,True
s765,https://placehold.co/420x630/17172a/f5c96b?text=Trippin%27%20with%20the%20Kandasamys,,0,,Not enriched,,True
s766,https://placehold.co/420x630/17172a/f5c96b?text=Xtreme,,0,,Not enriched,,True
s767,https://placehold.co/420x630/17172a/f5c96b?text=Alan%20Salda%C3%B1a%3A%20Locked%20Up,,0,,Not enriched,,True
s771,https://placehold.co/420x630/17172a/f5c96b?text=Myriam%20Fares%3A%20The%20Journey,,0,,Not enriched,,True
s786,https://placehold.co/420x630/17172a/f5c96b?text=Cocomelon,,0,,Not enriched,,True
s806,https://m.media-amazon.com/images/M/MV5BYWVlNjI0NzQtMmRlZS00YmUzLWIxNjctNThiODBlOTQzN2Y5XkEyXkFqcGc@._V1_SX300.jpg,,1,4.7,1 win,tt14482414,True
s821,https://m.media-amazon.com/images/M/MV5BOWZjYWM5YWYtOGE5Yi00MWM0LThlMWEtYTgyOGY4YzgzMTQzXkEyXkFqcGc@._V1_SX300.jpg,,0,,Not enriched,tt14986738,True
s831,https://placehold.co/420x630/17172a/f5c96b?text=The%20Kominsky%20Method,,0,,Not enriched,,True
s832,https://placehold.co/420x630/17172a/f5c96b?text=The%20Least%20Expected%20Day%3A%20Inside%20the%20Movistar%20Team%202019,,0,,Not enriched,,True
s833,"https://m.media-amazon.com/images/M/MV5BOTYyMzQ5NDItOThmMS00MWJmLWFlNWYtNTQwYmQwN2E4YzA2XkEyXkFqcGc@._V1_QL75_UY562_CR308,0,380,562_.jpg",,2,8.3,2 wins & 4 nominations total,tt12458172,True
s834,https://placehold.co/420x630/17172a/f5c96b?text=Black%20Space,,0,,Not enriched,,True
s836,https://m.media-amazon.com/images/M/MV5BZmJhMTUyNTgtNTE4Ny00ODNlLTk4NWEtZmY1YTk1MGVhOGVmXkEyXkFqcGc@._V1_SX300.jpg,,0,6.6,Not enriched,tt10545250,True
s838,https://m.media-amazon.com/images/M/MV5BMjQ5NWY2OWEtMDdjNC00N2YxLTkxYTctNDJlNmE1MmMzYzU5XkEyXkFqcGc@._V1_SX300.jpg,,0,6.5,Not enriched,tt13676344,True
s843,https://m.media-amazon.com/images/M/MV5BOTkxZmY4MmEtZDBiYy00NmQxLWJmNzQtNDE0ZjYxZTIyYzQzXkEyXkFqcGc@._V1_SX300.jpg,,3,7.7,3 wins & 5 nominations,tt14540468,True
s848,https://m.media-amazon.com/images/M/MV5BNzM1YmYwMjgtMDk3Ny00YjdmLTgwMjgtOWI3NTg1MGIwZDllXkEyXkFqcGc@._V1_SX300.jpg,,0,7.9,Not enriched,tt14596414,True
s849,https://placehold.co/420x630/17172a/f5c96b?text=Master%20of%20None,,0,,Not enriched,,True
s856,https://placehold.co/420x630/17172a/f5c96b?text=Jurassic%20World%20Camp%20Cretaceous,,0,,Not enriched,,True
s858,https://m.media-amazon.com/images/M/MV5BMDAwZWM4ODYtNTRmMy00NzJkLWExMDMtYTkzMDQ2MmNmNWY4XkEyXkFqcGdeQXVyMTAxODQ2NDU1._V1_SX300.jpg,,0,,Not enriched,tt21810202,True
s862,https://placehold.co/420x630/17172a/f5c96b?text=Little%20Singham%20Future%20mein%20Satakli,,0,,Not enriched,,True
s863,https://m.media-amazon.com/images/M/MV5BYzBlZmMzOGYtNTIwNi00ZjFlLTliNjEtNDk4YjA1NGY2M2VmXkEyXkFqcGc@._V1_SX300.jpg,,2,8.3,2 wins & 14 nominations,tt13899566,True
s871,https://m.media-amazon.com/images/M/MV5BN2YyZDczZGYtOTkyNS00NjU3LTg2YmUtYTFkZDY2NjViYjFiXkEyXkFqcGdeQXVyMTI0MjI0NTc0._V1_SX300.jpg,,0,7.8,1 nomination,tt10393074,True
s872,https://m.media-amazon.com/images/M/MV5BZGYxMjEyZDMtZjMzMi00MTI5LWIzM2YtNzllYTdmMzIwODIwXkEyXkFqcGc@._V1_SX300.jpg,,1,4.3,1 win & 5 nominations,tt11213600,True
s874,https://placehold.co/420x630/17172a/f5c96b?text=Ahaan,,0,,Not enriched,,True
s875,https://placehold.co/420x630/17172a/f5c96b?text=Booba%3A%20Food%20Puzzle,,0,,Not enriched,,True
s877,https://m.media-amazon.com/images/M/MV5BN2NjZDMxYTgtYzBjYy00YjczLThkOTUtYjgyY2JhNjA4NDcwXkEyXkFqcGc@._V1_SX300.jpg,,0,8.2,Not enriched,tt14512938,True
s878,https://m.media-amazon.com/images/M/MV5BYjRkMTU3MGUtOWEzNi00MWU0LTk2OTQtZjE3ZGZjODU2ZjYwXkEyXkFqcGc@._V1_SX300.jpg,,1,7.9,1 win & 3 nominations,tt14554338,True
s879,https://m.media-amazon.com/images/M/MV5BNDk3NmM2ODQtM2MxMi00YzUwLTg4ZTYtNGEwMzk3ZjNmOTlmXkEyXkFqcGc@._V1_SX300.jpg,,1,7.0,1 win & 6 nominations total,tt14217100,True
s880,https://m.media-amazon.com/images/M/MV5BM2NjMDE5YTAtNDA3ZS00YWRjLTllZWItMzkxYTczZTVhNTY4XkEyXkFqcGc@._V1_SX300.jpg,,2,7.5,Won 1 Primetime Emmy. 2 wins & 22 nominations total,tt9569546,True
s882,https://m.media-amazon.com/images/M/MV5BZTQ1NjQ5ZjktOTQxMS00YTkwLWEzYjUtNzUyNGQyZjc2YWMxXkEyXkFqcGc@._V1_SX300.jpg,,3,6.0,3 wins & 10 nominations total,tt9013182,True
s883,https://placehold.co/420x630/17172a/f5c96b?text=Jungle%20Beat%3A%20The%20Movie,,0,,Not enriched,,True
s884,https://placehold.co/420x630/17172a/f5c96b?text=Love%2C%20Death%20%26%20Robots,,0,,Not enriched,,True
s889,https://placehold.co/420x630/17172a/f5c96b?text=The%20Upshaws%20-%20The%20Afterparty,,0,,Not enriched,,True
s890,https://m.media-amazon.com/images/M/MV5BODI1YzhlZTMtZDNkYy00NDdhLWJiMDctYjU4YjZiYTM2YzRkXkEyXkFqcGc@._V1_SX300.jpg,,0,5.7,8 nominations total,tt6111574,True
s895,https://placehold.co/420x630/17172a/f5c96b?text=Dance%20of%20the%20Forty%20One,,0,,Not enriched,,True
s896,https://m.media-amazon.com/images/M/MV5BY2IyZTFkZGEtM2JiOC00NDMyLThmOTktZDEzYzFlZTc4YzJkXkEyXkFqcGc@._V1_SX300.jpg,,0,6.5,1 nomination total,tt6341832,True
s962,https://m.media-amazon.com/images/M/MV5BNzAyOWNiMjAtNWUzMi00ZDk1LWE5NzYtNDUzMWE1Y2M0NDM2XkEyXkFqcGc@._V1_SX300.jpg,,46,7.6,Nominated for 1 Oscar. 46 wins & 65 nominations total,tt7979580,True
s1109,https://m.media-amazon.com/images/M/MV5BNzc0NzgzYjctYzA4OC00NzM1LThmM2MtMTk0NjVhZWMzYjY3XkEyXkFqcGc@._V1_SX300.jpg,,0,5.8,Not enriched,tt13103212,True
s1282,https://m.media-amazon.com/images/M/MV5BMGE5NzM5NWQtYjllZi00YzI2LWFmZjAtNDEzNGEwYTM2NWExXkEyXkFqcGc@._V1_SX300.jpg,,0,6.5,1 nomination,tt11191344,True
s1291,https://placehold.co/420x630/17172a/f5c96b?text=I%20Care%20a%20Lot,,0,,Not enriched,tt22606428,True
s1305,https://m.media-amazon.com/images/M/MV5BNjA5MGFhYmYtYTBkYS00NjYzLWFkZjgtYWNiNmE5ZTFiNDAwXkEyXkFqcGc@._V1_SX300.jpg,,0,5.8,Not enriched,tt13853720,True
s1312,https://m.media-amazon.com/images/M/MV5BZjgyMWUwN2EtMWJlMS00YjZlLWJmNjItZjUxYzdhMjA0ZjJlXkEyXkFqcGc@._V1_SX300.jpg,,0,4.9,Not enriched,tt12423052,True
s1316,"https://m.media-amazon.com/images/M/MV5BMDZjMmQ3M2MtNjVmMy00YjdjLWFjNzMtMTRmOGUwMTRhYTE5XkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg",,0,6.7,Not enriched,tt13323128,True
s1319,https://m.media-amazon.com/images/M/MV5BMTVlNWI4NzMtNTIxYi00NmQzLTliMjAtMjU3YjU3OTc2OTRjXkEyXkFqcGc@._V1_SX300.jpg,,2,6.3,2 wins & 2 nominations total,tt10676012,True
s1320,https://placehold.co/420x630/17172a/f5c96b?text=Xico%27s%20Journey,,0,,Not enriched,,True
s1326,https://m.media-amazon.com/images/M/MV5BNjlmMWRhNDEtNzg0OS00OGUwLThlYTItZGNjZjJhNzBlNTZiXkEyXkFqcGc@._V1_SX300.jpg,,0,5.5,1 nomination total,tt11307814,True
s1327,https://m.media-amazon.com/images/M/MV5BMDdkMzNmMWYtZGNhYS00ZmI5LWI4ZTktNjFlNTMyNjQ1ZDJkXkEyXkFqcGc@._V1_SX300.jpg,,0,5.1,Not enriched,tt13846542,True
s1330,https://m.media-amazon.com/images/M/MV5BYjg4YjczOGYtODRmYS00ODBmLWFjMTMtMmVmOGFmZDFiNzgwXkEyXkFqcGc@._V1_SX300.jpg,,0,4.5,Not enriched,tt13669344,True
s1342,https://m.media-amazon.com/images/M/MV5BZTc5ZDZjMzMtMDk4MC00N2NlLTg2MjAtOGI5OTcxNzZhMGNlXkEyXkFqcGc@._V1_SX300.jpg,,4,6.6,4 wins & 9 nominations total,tt12676326,True
s1343,https://m.media-amazon.com/images/M/MV5BNTZiMDBhODAtN2Y4Mi00ZThjLTg0ODItN2M1ZGJkZWI1N2YxXkEyXkFqcGc@._V1_SX300.jpg,,8,6.5,8 wins & 19 nominations total,tt12838766,True
s1344,https://m.media-amazon.com/images/M/MV5BMmExZWE1ZjUtN2EzMC00ZmRkLTk2YTgtZTkzZGE2YjE0ZTRlXkEyXkFqcGc@._V1_SX300.jpg,,0,5.5,1 nomination,tt13787118,True
s1346,https://placehold.co/420x630/17172a/f5c96b?text=The%20Yin-Yang%20Master%3A%20Dream%20Of%20Eternity,,0,,Not enriched,,True
s1369,https://m.media-amazon.com/images/M/MV5BNDc5ZTc0OGYtNGRjMC00MDI0LWI3ZDQtZmU4ODc4NDRjZWQwXkEyXkFqcGc@._V1_SX300.jpg,,0,6.2,2 nominations total,tt9845564,True
s1370,https://m.media-amazon.com/images/M/MV5BM2ZjNWFmNzItNmVhMS00Yzg4LTk0NjQtY2Q4OTY0YTczMzFjXkEyXkFqcGc@._V1_SX300.jpg,,1,6.1,1 win & 2 nominations total,tt10332588,True
s1432,https://m.media-amazon.com/images/M/MV5BMzBhMzdkYTEtNmEyNy00NWU4LThjM2MtYTA4MDA1OGI1OTNhXkEyXkFqcGc@._V1_SX300.jpg,,0,6.0,1 nomination,tt11213372,True
s1437,https://placehold.co/420x630/17172a/f5c96b?text=Ratones%20Paranoicos%3A%20The%20Band%20that%20Rocked%20Argentina,,0,,Not enriched,,True
s1467,https://m.media-amazon.com/images/M/MV5BYTg0YWM0YjgtMTgwYi00NWUzLTljYTctNWY3NjJjY2Y3Njk4XkEyXkFqcGc@._V1_SX300.jpg,,0,5.9,1 nomination,tt13583144,True
s1469,https://m.media-amazon.com/images/M/MV5BZTVhNWJjMmMtMjY4Ny00ZDZiLTk3MTMtODdhNzhjZWU5NzFkXkEyXkFqcGc@._V1_SX300.jpg,,0,4.4,Not enriched,tt13667212,True
s1474,https://placehold.co/420x630/17172a/f5c96b?text=Chilling%20Adventures%20of%20Sabrina,,0,,Not enriched,,True
s1482,https://m.media-amazon.com/images/M/MV5BM2MwOTU2ZjMtYTFmMC00M2FkLWE4MzEtZDNhZjc4YjhkNGUxXkEyXkFqcGc@._V1_SX300.jpg,,1,4.8,1 win & 8 nominations total,tt13212006,True
s1484,https://m.media-amazon.com/images/M/MV5BYjEzNGI5OGQtYTM5MS00NjNiLTg5YzItNWYyYTBhNmU2ZDUyXkEyXkFqcGc@._V1_SX300.jpg,,0,7.2,Not enriched,tt13642264,True
s1552,https://placehold.co/420x630/17172a/f5c96b?text=Hilda,,0,,Not enriched,,True
s1697,https://m.media-amazon.com/images/M/MV5BMGQ5Y2U2MmItMmYzOS00OGQ0LWJmMDMtNGQwMjI2YzI0NDdiXkEyXkFqcGdeQXVyMTYwNzgxODgx._V1_SX300.jpg,,0,,Not enriched,tt27760236,True
s1807,https://m.media-amazon.com/images/M/MV5BZGNkYWJhZDAtZTk3Ni00MGRkLTgzMzYtNDc1NWYyZjQzMTZmXkEyXkFqcGc@._V1_SX300.jpg,,0,5.2,1 nomination total,tt11284280,True
s1899,https://m.media-amazon.com/images/M/MV5BYjk3ZDdkZmMtMjQ0Yi00Nzc5LTk5NDUtMDIxMzcxNjA4MzhkXkEyXkFqcGc@._V1_SX300.jpg,,0,4.8,Not enriched,tt10914452,True
s1901,https://m.media-amazon.com/images/M/MV5BY2QwYzBkZGEtMzkzOC00NWRhLTkxMjgtNGU5OTc2YmNjMTFkXkEyXkFqcGc@._V1_SX300.jpg,,0,5.7,Not enriched,tt8976576,True
s2030,https://m.media-amazon.com/images/M/MV5BODk1ZmQ4ODItZjcwZi00MTUxLWE1YWMtMDY2NWJhNzJjMGEyXkEyXkFqcGc@._V1_SX300.jpg,,0,5.8,2 nominations.,tt11024272,True
s2035,https://m.media-amazon.com/images/M/MV5BMzIzNjQxNzUtZTJkMS00YTU3LWJjZTctNmQyNDZhZDc0ZjYzXkEyXkFqcGc@._V1_SX300.jpg,,0,5.3,Not enriched,tt11827806,True
s2037,https://m.media-amazon.com/images/M/MV5BZTI3ZTExYzktMDcwNC00MzUwLTg2NDQtYzBkYjAxMDAyNzVkXkEyXkFqcGc@._V1_SX300.jpg,,1,6.3,1 win & 1 nomination total,tt10620868,True
s2077,https://m.media-amazon.com/images/M/MV5BMjUwNTkzNTktMDkzYi00OGYxLThjZmUtMDFmOGRiYmQwMmE4XkEyXkFqcGdeQXVyMjUxMTY3ODM@._V1_SX300.jpg,,0,4.9,1 nomination,tt12917148,True
s2083,https://m.media-amazon.com/images/M/MV5BNjMzMmYwOGYtOTJhMy00Yjg3LWIwYTItMDlhMGMwYTE3YTM3XkEyXkFqcGc@._V1_SX300.jpg,,0,4.7,1 nomination,tt11060730,True
s2092,https://m.media-amazon.com/images/M/MV5BYTRkOGU2NGUtZjRjOS00YjU5LThkZTMtNjNmNDZjNmNiMmVkXkEyXkFqcGc@._V1_SX300.jpg,,0,5.3,2 nominations total,tt11242242,True
s2096,https://m.media-amazon.com/images/M/MV5BYTAzNzZhZjctOTE5Zi00YThmLTg0YjctZjk2N2Q3NjFjZWU5XkEyXkFqcGc@._V1_SX300.jpg,,0,6.7,Not enriched,tt12987838,True
s2105,https://m.media-amazon.com/images/M/MV5BOTIxMWFmYmMtZGE5OS00MjMxLTg3MGQtOGM5Y2I0MTFkZWY3XkEyXkFqcGc@._V1_SX300.jpg,,0,2.8,Not enriched,tt12536776,True
s2108,https://m.media-amazon.com/images/M/MV5BYzdhMWIxOTctYjI2Yi00MzZmLTg4MzAtY2M5MDRkMGE0MmUxXkEyXkFqcGc@._V1_SX300.jpg,,1,5.7,1 win & 1 nomination total,tt10888708,True
s2110,https://m.media-amazon.com/images/M/MV5BZTNiNmQ4NjktMDEyOS00NmRiLTk2YjQtMzJiNjA5MDc2ZTllXkEyXkFqcGc@._V1_SX300.jpg,,2,6.4,2 wins & 2 nominations,tt11733790,True
s2112,https://m.media-amazon.com/images/M/MV5BZWJmMWY1ODQtNzVkZS00Nzg2LWE4NzktZTg4OWMyNjljZTcyXkEyXkFqcGc@._V1_SX300.jpg,,3,6.7,3 wins & 13 nominations,tt10915060,True
s2115,https://m.media-amazon.com/images/M/MV5BMWRjNjQ1NjMtNzRjYS00YjA0LTliZGEtZGM1ZGExYzJiMGUxXkEyXkFqcGc@._V1_SX300.jpg,,0,5.4,Not enriched,tt12934616,True
s2118,https://m.media-amazon.com/images/M/MV5BNGNmODRiNjEtMjM1Yi00ODVhLTg1NjktNzA1MDk4ZDBiMjJmXkEyXkFqcGc@._V1_SX300.jpg,,0,6.2,6 nominations,tt10643918,True
s2129,https://m.media-amazon.com/images/M/MV5BNzc3M2I1Y2YtNjQ3NS00ZGE2LTkxYWYtMTNlMDViMThmNDYwXkEyXkFqcGc@._V1_SX300.jpg,,0,,Not enriched,tt15929232,True
s2130,https://m.media-amazon.com/images/M/MV5BYzllYzdlYTAtNzljNi00ZGVmLTg1NjQtYjg3MGM0MGJkYWI3XkEyXkFqcGc@._V1_SX300.jpg,,0,5.0,2 nominations,tt8675288,True
s2150,https://placehold.co/420x630/17172a/f5c96b?text=We%20Summon%20the%20Darkness,,0,,Not enriched,,True
s2151,https://placehold.co/420x630/17172a/f5c96b?text=Berlin%2C%20Berlin%3A%20Lolle%20on%20the%20Run,,0,,Not enriched,,True
s2160,https://m.media-amazon.com/images/M/MV5BNWQ5ZmFlZWEtYjU4My00NjgyLWFlZmUtZDZkMjEzMzFmNGI4XkEyXkFqcGc@._V1_SX300.jpg,,1,6.1,1 win total,tt10276470,True
s2168,https://m.media-amazon.com/images/M/MV5BMDkwYjViNjUtMmU1Yi00MWZmLTgxZDMtNDIyMDAzOTkzZDE1XkEyXkFqcGc@._V1_SX300.jpg,,0,4.9,1 nomination,tt11032990,True
s2343,https://m.media-amazon.com/images/M/MV5BNGMzNGE1YTEtNjg1NS00N2Q3LWJhOWItZDFmOWE2NjU4OGY3XkEyXkFqcGc@._V1_SX300.jpg,,11,6.6,11 wins & 14 nominations total,tt12393526,True
s2354,https://m.media-amazon.com/images/M/MV5BNWY3MWYxNTEtNWI4NC00M2M5LWE2ZjAtMjYyMDI4Y2Y4ZjdkXkEyXkFqcGc@._V1_SX300.jpg,,1,6.9,1 win & 1 nomination,tt8747450,True
s2402,https://m.media-amazon.com/images/M/MV5BMmMyZTE4MjUtMTQ1NS00NmIyLWE4OTYtYTE4YmM1YmEyNzFmXkEyXkFqcGc@._V1_SX300.jpg,,0,6.6,1 nomination,tt1910645,True
s2423,https://placehold.co/420x630/17172a/f5c96b?text=Queer%20Eye,,0,,Not enriched,,True
s2427,https://placehold.co/420x630/17172a/f5c96b?text=BAKI,,0,,Not enriched,,True
s2460,https://m.media-amazon.com/images/M/MV5BYzFiODc5Y2YtMDZlMS00ZTk4LWIzYTEtYzAyMjU2NmQ2MjQ0XkEyXkFqcGc@._V1_SX300.jpg,,0,6.7,Nominated for 4 Primetime Emmys. 7 nominations total,tt9612516,True
s2463,https://m.media-amazon.com/images/M/MV5BYzE2M2I0ZmYtYjMxYS00NzYzLWEzNmEtZjQ4ODhmMDNmN2MyXkEyXkFqcGc@._V1_SX300.jpg,,0,8.0,7 nominations total,tt11147852,True
s2473,https://m.media-amazon.com/images/M/MV5BYTZjZjJiNmItYWVlZC00ZDY5LWI3ZDMtMzU4N2UzODdlMzBkXkEyXkFqcGc@._V1_SX300.jpg,,0,5.5,2 nominations total,tt10651790,True
s2481,https://placehold.co/420x630/17172a/f5c96b?text=Trailer%20Park%20Boys%3A%20The%20Animated%20Series,,0,,Not enriched,,True
s2525,https://placehold.co/420x630/17172a/f5c96b?text=Magic%20for%20Humans,,0,,Not enriched,,True
s2552,https://placehold.co/420x630/17172a/f5c96b?text=Dead%20to%20Me,,0,,Not enriched,,True
s2558,https://placehold.co/420x630/17172a/f5c96b?text=Scissor%20Seven,,0,,Not enriched,,True
s2566,https://m.media-amazon.com/images/M/MV5BYWRlMTllMWQtYzFjZi00M2MzLWE2ZGItOTAxOGQ2MzMyN2Y5XkEyXkFqcGc@._V1_SX300.jpg,,0,6.9,4 nominations,tt12146940,True
s2589,https://placehold.co/420x630/17172a/f5c96b?text=Oh%20Yuck,,0,,Not enriched,,True
s2641,https://m.media-amazon.com/images/M/MV5BNjQzN2Q5MzAtMzdkMi00YjQxLTk0YTctNmZlNTVhYWJmNjdiXkEyXkFqcGdeQXVyMTUyMzIzNDgy._V1_SX300.jpg,,0,7.4,Not enriched,tt19403262,True
s2649,https://placehold.co/420x630/17172a/f5c96b?text=The%20House%20of%20Flowers,,0,,Not enriched,,True
s2652,https://m.media-amazon.com/images/M/MV5BZmI3MTc5YmEtOGI3My00YmJmLWJkZDEtNTlmMDNlNjRiNDQ4XkEyXkFqcGc@._V1_SX300.jpg,,0,4.0,Not enriched,tt12027008,True
s2816,https://m.media-amazon.com/images/M/MV5BM2M1MzZmYmMtYmFjMi00M2QwLWI0OWItZTVlODY2YzhmNTFiXkEyXkFqcGc@._V1_SX300.jpg,,2,3.7,2 wins & 3 nominations,tt9817760,True
s2820,https://m.media-amazon.com/images/M/MV5BNTUxOTY2MDgtZDFlOC00NTcyLWExMmUtN2JiNDQwNTIxYjY2XkEyXkFqcGc@._V1_SX300.jpg,,0,5.9,Not enriched,tt8116640,True
s2921,https://m.media-amazon.com/images/M/MV5BMmIxODc2ZGYtYzZhMS00ZTgwLWFkN2UtYjg3OTc3ODhkZjRkXkEyXkFqcGc@._V1_SX300.jpg,,0,6.2,Not enriched,tt15018224,True
